Code,Title,Description
PGA:g,Peak ground acceleration in g,"The largest *increase* in velocity recorded at a particular location during an earthquake. Expressed in g - the standard acceleration due to Earth's gravity, equivalent to g-force (1 g = 9.81 m/s2)"
PGA:gal,Peak ground acceleration in Gal,"The largest *increase* in velocity recorded at a particular location during an earthquake. Expressed in multiples of Gal, where 1 Gal is equal to 0.01 m/s2 (1 g = 981 Gal)"
PGA:m/s2,Peak ground acceleration in m/s^2,"The largest *increase* in velocity recorded at a particular location during an earthquake. Expressed in meters per second squared (m/s^2)"
PGV:m/s,Peak ground velocity in m/s,"The greatest speed of ground shaking recorded at a particular location during an earthquake. Expressed in meters per second (m/s)."
AvgSa:m/s2,Average spectral acceleration in m/s^2,"Rhe mean of the spectral accelerations at a set of periods that are crucial for risk assessment and loss estimation of a structure of interest. Expressed in meters per second squared (m/s^2)"
Sd(T1):m,Spectral displacement,"The maximum displacement experienced by a structure, as modelled by a mass on a vertical spring having the same natural period of vibration, T, as the building. Expressed in meters (m)."
Sv(T1):m/s,Spectral velocity,"The maximum velocity experienced by a structure, as modelled by a mass on a vertical spring having the same natural period of vibration, T, as the building. Expressed in meters per second (m/s)."
PGDf:m,Permanent ground deformation,"The displacement of the ground surface due to the movement of a fault. Expressed in meters (m)."
D:s,Significant duration,"The time interval over which the integral of the square of the ground acceleration is within a defined percentage range. Expressed in seconds (s)."
IA:m/s,Arias intensity (IÎ±) or (IA) or (Ia),Arias intensity (IA): a measure of the strength of ground motion. Expressed in meters per second (m/s).
Neq:,Effective number of cycles,"A relationship between the total number of cycles, amplitude of each half cycle, the amplitude of the largest half cycle, and an application-dependent damage coefficient."
EMS:,European macroseismic scale,"A dimensionless scale of seismic intensity. EMS-98 intensity denotes how strongly an earthquake affects a specific place, with 12 classes I (Not felt) to XII (Completely devastating)."
MMI:,Modified Mercalli Intensity,"A dimensionless scale of seismic intensity. MMI intensity denotes how strongly an earthquake affects a specific place, with 10 classes I (Not felt) to X (Extreme)."
CAV:m/s,Cumulative absolute velocity,"The relationship between absolute value of acceleration at time t, relative to total duration of the ground motion record. Expressed in meters per second (m/s)."
D_B:s,Bracketed duration,"The time elapsed between the first and last excursions beyond a specified threshold acceleration (typically 0.05 g or 0.1 g). Expressed in seconds (s)."
fl_wd:m,Flood water depth (m),"The depth of flood waters measured relative to the normal limits of the body of water responsible. Expressed in meters (m)."
fl_wv:m/s,Flood flow velocity (m/s),The rate at which flood waters move. Highly correlated to structural damage to infrastructures. Expressed in meters per second (m/s).
v_ect(3s):km/h,3-sec at 10m sustained wind speed (kph),"The average speed of the wind over a 3-second time period, measured at a height of 10 meters (about 33 feet) above the ground or sea surface. Expressed in kilometers per hour (kph)."
v_ect(1m):km/h,1-min at 10m sustained wind speed (kph),"The average speed of the wind over a 1-minute time period, measured at a height of 10 meters (about 33 feet) above the ground or sea surface. Expressed in kilometers per hour (kph)."
v_etc(10m):km/h,10-min sustained wind speed (kph),The average wind speed over a period of 10 minutes. Expressed in kilometers per hour (kph).
PGWS_tcy:km/h,Peak gust wind speed,The peak gust wind speed in the open terrain. Expressed in meters per second (m/s).
ls_fd:m,Landslide flow depth,The depth of the landslide flow. Expressed in meters (m).
I_DF:m3/s2,Debris-flow intensity index,A landslide intensity index proposed by Jakob et al. (2012). Expressed in meters cubed per second squared (m^3/s^2).
v_lsl:m/s2,Landslide flow velocity,Impact velocity of a landslide. Expressed in meters per second (m/s).
ls_mfd:m,Maximum foundation displacement,The maximum (absolute) foundation displacement due to landslide. Expressed in meters (m).
SD_lsl:m,Landslide displacement,The displacement associated with the slow moving landslides. Expressed in meters (m).
Rh_tsi:m,Tsunami wave runup height (m),"The height reached by water measured relative to a stated datum such as mean sea level, mean low water, sea level at the time of the tsunami. Expressed in meters (m)."
d_tsi:m,Tsunami inundation depth (m),"The depth of the water from a tsunami, measured on shore in different locations. Expressed in meters (m)."
h_tsi:m,Tsunami wave height,"The vertical distance between the trough (lowest point) and crest (highest point) of a tsunami wave. It is a measure of the amplitude or size of the wave, indicating the magnitude of the water displacement caused by the tsunami. Expressed in meters (m)."
v_tsi:m/s,Tsunami velocity,Peak tsunami velocity generally calculated from numerical simulation as the vector sum of the velocity components in the directions of the two orthogonal axes of the 2D flow calculation. Expressed in meters per second (m/s).
Fh_tsi:m,Tsunami Horizontal Force,The lateral or horizontal force exerted by a tsunami. Expressed in meters (m).
MF:m3/s2,Momentum flux,"A vector in the direction of flow, of magnitude equal to the mass-flow per unit area. Expressed in meters cubed per seconds squared (m^3/s^2)."
MMF:m4/s2,Modified momentum flux,"The product of momentum flux and inundation depth, considered a proxy for the overturning moment induced by the flow. Expressed in meters to the fourth per seconds squared (m^4/s^2)."
F_drag:kN,Drag force,The force exerted on an object (per unit width perpendicular to the direction of flow) due to the movement of a surrounding fluid. Expressed in kilo Newtons (kN).
Fr:,Froude number,A measure of flow velocity non-dimensionalized by the gravity-wave velocity.
F_QS:kN,Quasi-steady force,Steady-state force estimation considering choked and sub-critical flow for a body of width b in a channel of width w. Expressed in kilo Newtons (kN).
h_vaf:mm,Accumulated ashfall thickness (mm),"Accumulated depth or thickness of ash following a volcanic eruption. Expressed in meters (m)."
L_vaf:kg/m2,Ash loading,"The load of accumulated volcanic ash measured in kilograms per square meter (km/m^2)."
ASI:%,Agricultural Stress Index,"A quick-look indicator that facilitates the early identification of cropped land with a high likelihood of water stress (drought). Expressed as a percentage (%)."
DI:,Drought Intensity,"Agricultural droughts are classified by their intensity and are categorized into four classes: Extreme, Severe, Moderate or Mild. The intensity of the drought is calculated through the Weighted Mean Vegetation Health Index aggregated per GAUL 2 region. Source: FAO Seasonal Global Indicators."
WMVHI:,Weighted Mean Vegetation Health Index,"Allows the user to assess the severity of the drought from the start of the growing season, examining the vegetation health and the influence of temperature on plant conditions. Source: FAO Seasonal Global Indicators."
NDVI:,Normalized Difference Vegetation Index,"Measures the “greenness” of ground cover and is used as a proxy to indicate the density and health of vegetation. NDVI values range from +1 to -1, with high positive values corresponding to dense and healthy vegetation, and low and/or negative NDVI values indicating poor vegetation conditions or sparse vegetative cover. The NDVI anomaly indicates the variation of the current dekad to the long-term average. Source: FAO Global Indicators."
VCI:,Vegetation Condition Index,"Evaluates the current vegetation health in comparison to the historical trends. The VCI relates current dekadal Normalized Difference Vegetation Index (NDVI) to its long-term minimum and maximum, normalized by the historical range of NDVI values for the same dekad. The VCI was designed to separate the weather-related component of the NDVI from the ecological element. Source: FAO Global Indicators."
VHI:,Vegetation Health Index,"Illustrates the severity of drought based on the vegetation health and the influence of temperature on plant conditions. The VHI is a composite index and the elementary indicator used to compute the ASI. It combines both the Vegetation Condition Index (VCI) and the Temperature Condition Index (TCI). Source: FAO Global Indicators."
CMI:,Crop Moisture Index,"The CMI (Eight classes from "Severely Dry" to "Excessively Wet") gives the short-term or current status of purely agricultural drought or moisture surplus and can change rapidly from week to week. The CMI indicate general conditions and not local variations caused by isolated rain. Source: https://www.drought.gov/data-maps-tools/crop-moisture-index-cmi"
PDSI:,Palmer Drought Severity Index,"An estimate of relative dryness. It is a standardized index that generally spans -10 (dry) to +10 (wet). Source: https://climatedataguide.ucar.edu/climate-data/palmer-drought-severity-index-pdsi"
SPI:,Standard Precipitation Index,"An index to characterize meteorological drought on a range of timescales. On short timescales, the SPI is closely related to soil moisture, while at longer timescales, the SPI can be related to groundwater and reservoir storage. Source: https://climatedataguide.ucar.edu/climate-data/standardized-precipitation-index-spi"
SPEI:,Standard Precipitation Evapotranspiration Index,"An extension of the Standardized Precipitation Index (SPI). The SPEI is designed to take into account both precipitation and potential evapotranspiration (PET) in determining drought. Source: https://climatedataguide.ucar.edu/climate-data/standardized-precipitation-evapotranspiration-index-spei."
WBGT:c,Wet Bulb Globe Temperature in Celsius,"A measure of the heat stress in direct sunlight, which takes into account: temperature, humidity, wind speed, sun angle and cloud cover (solar radiation). Expressed in degrees celsius (c)."
FWI:,Fire Weather Index,"A meteorologically based dimensionless index used worldwide to estimate fire danger. It consists of different components that account for the effects of fuel moisture and wind on fire behaviour and spread. The higher the FWI is, the more favourable the meteorological conditions to trigger a wildfire."
MHI:,Multi-Hazard Index,An index describing the prevalence of multiple hazards.
