Dataset identifier,https://datacatalog.worldbank.org/search/dataset/0064254/Central-Asia-exposure-dataset---Projected-residential-exposure,https://datacatalog.worldbank.org/search/dataset/0064251/Central-Asia-exposure-dataset---Residential-buildings
Title,Central-Asia-exposure-dataset---Projected-residential-exposure,Central-Asia-exposure-dataset---Current-residential-exposure
Description,"Regional layer of residential buildings in Central Asia, projected to 2080",Regional layer of residential buildings in Central Asia
Risk data type,exposure,exposure
Name,World Bank,World Bank
Email address,sfraser@worldbank.org,sfraser@worldbank.org
URL,http://www.worldbank.org,http://www.worldbank.org
Dataset version,12,12
Dataset purpose,"Developed as part of the regional risk assessment, under the Strengthening Financial Resilience and Accelerating Risk Reduction in Central Asia program. (https://www.gfdrr.org/en/program/SFRARR-Central-Asia)","Developed as part of the regional risk assessment, under the Strengthening Financial Resilience and Accelerating Risk Reduction in Central Asia program. (https://www.gfdrr.org/en/program/SFRARR-Central-Asia)"
Project title,Strengthening Financial Resilience and Accelerating Risk Reduction in Central Asia ,Strengthening Financial Resilience and Accelerating Risk Reduction in Central Asia 
Countries,KAZ;KGZ;TJK;TKM;UZB,KAZ;KGZ;TJK;TKM;UZB
License,CC-BY-4.0,CC-BY-4.0
Name,Stuart Fraser,Stuart Fraser
Email address,sfraser@worldbank.org,sfraser@worldbank.org
Name,Risk Engineering and Development,Risk Engineering and Development
URL,http://www.redrisk.com ,http://www.redrisk.com 
Exposure category,buildings,buildings
Exposure taxonomy scheme,GED4ALL,GED4ALL
