Code,Title,Description,UNDRRHazardCategory
coastal_flood,Coastal Flood,"Inundation of water from the sea into coastal areas, coastal flooding is most frequently the result of storm surges and high winds coinciding with high tides.",Meteorological and hydrological
convective_storm,Convective Storm,"Convective storms or thunderstorms, are severe local storms formed through the process of convection, whereby heat and moisture are transported vertically in the atmosphere. They are associated with thunder, lightning, heavy rain, hail, strong winds and sudden temperature changes. They can occur all year round but are most common during summer (RMETS, 2020).",Meteorological and hydrological
drought,Drought,"A drought is a period of abnormally dry weather characterised by a prolonged deficiency of precipitation below a certain threshold over a large area and a period longer than a month (WMO, 2020).",Meteorological and hydrological
extreme_temperature,Extreme Temperature,"Temperature extremes including extreme heat and cold, referred to as heat waves and cold waves.",Meteorological and hydrological
flood,Flood,"Inundation of water as a result of rainfall ponding on the surface and/or originating from river channels, includes pluvial flood and fluvial flood.",Meteorological and hydrological
wildfire,Wildfire,"An unplanned or uncontrolled fire affecting natural, cultural, industrial and residential landscapes (adapted from FAO, 2010).",Environmental
strong_wind,Strong Wind,"Storms in which high wind speeds and wind forces contribute to damage, including tropical storms and cyclone, extra-tropical cyclone, and tornado.",Meteorological and hydrological
earthquake,Earthquake,"A sudden slip on a fault, and the resulting ground shaking and radiated seismic energy caused by the slip, volcanic or magmatic activity, or other sudden stress changes in the Earth (USGS, no date).",Geological
landslide,Landslide,"The downslope movement of soil, rock and organic materials under the effects of gravity. Includes various sub-types of landslide including rockfall and mudflows.",Geological
tsunami,Tsunami,"A series of travelling waves of extremely long length and period, usually generated by ground movement in earthquakes but also caused by landslides, volcanic eruption and meteorological pressure.",Geological
volcanic,Volcanic,"Any potentially dangerous volcanic process that puts human lives, livelihoods or infrastructure at risk of harm. Several hazards may affect the area around the volcano, such as lava flows, pyroclastic flows, lahars, jokulhlaups and landslides or debris avalanches with tephra fall, including ashfall further afield (adapted from BGS, 2012).",Geological
pest_infestation,Pest Infestation,"An insect pest infestation is a recently detected insect pest population, including an incursion, or a sudden significant increase of an established insect in an area leading to damage to plants in production fields, forests or natural habitats and causing substantial damage to productivity, biodiversity or natural resources (adapted from IPPC Secretariat, 2024).",Biological
sea_level_rise,Sea Level Rise,"Sea-level change (sea-level rise / sea-level fall) refers to a change in the height of sea level, both globally and locally (relative sea-level change), at seasonal, annual, or longer time scales. It results from a change in ocean volume due to a change in the mass of water in the ocean (e.g. melting of glaciers and ice sheets), changes in ocean water density (e.g. expansion under warmer conditions), changes in the shape of ocean basins, changes in the Earth's gravitational and rotational fields, and local land subsidence or uplift (IPCC, 2019).",Environmental
erosion,Erosion,"Erosion is the geological process in which earth materials-soil, rock, and sediments-are worn away, detached, and transported by natural forces such as water, wind, ice, and gravity.",Geological
dust_sand_storm,Dust and Sand Storm,"A dust storm is an ensemble of particles of dust or sand energetically lifted to great heights by a strong and turbulent wind (WMO, 2017).",Meteorological and hydrological
