Code,Title,Description,Emdat Subtype,Emdat ClassificationKey,HIPS Code,HIPS Name,HIPS URI
coastal_flood,Coastal Flood,"Most frequently the result of storm surges and high winds coinciding with high tides. The surge itself is the result of the raising of sea levels due to low atmospheric pressure. In particular configurations, such as major estuaries or confined sea areas, the piling up of water is amplified by a combination of the shallowing of the seabed and retarding of return flow (WMO, 2011).",Coastal flood,nat-hyd-flo-coa,MH0601,Coastal Flooding,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0601
storm_surge,Storm Surge,"Reflects the difference between the actual water level under the influence of a meteorological disturbance (storm tide) and the level which would have occurred in the absence of the meteorological disturbance (i.e., astronomical tide) (WMO, 2008, 2011, 2017).",Storm surge,nat-met-sto-sur,MH0703,Storm Surge,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0703
tornado,Tornado,"A rotating column of air, extending from the base of a cumuliform cloud, and often visible as a condensation funnel in contact with the ground, and/or attendant circulating dust or debris cloud at the ground (WMO, 2017).",Tornado,nat-met-sto-tor,MH0305,Tornado,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0305
agricultural_drought,Agricultural Drought,"Occurs when agricultural production becomes affected. It focuses on precipitation shortages, differences between actual evapotranspiration, soil water deficits, reduced groundwater and so on.",Drought,nat-cli-dro-dro,MH0401,Drought,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0401
hydrological_drought,Hydrological Drought,Occurs when low water supply becomes evident and is associated with the effects of periods of precipitation shortfalls on surface or subsurface water supply.,Drought,nat-cli-dro-dro,MH0401,Drought,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0401
meteorological_drought,Meteorological Drought,Occurs when dry weather patterns dominate an area. It is defined usually on the basis of the degree of dryness and the duration of the dry period.,Drought,nat-cli-dro-dro,MH0401,Drought,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0401
socioeconomic_drought,Socio-economic Drought,"Relates the supply and demand of some economic goods with elements of meteorological, hydrological, and agricultural drought. It also occurs when the demand for an economic good exceeds supply as a result of a weather-related shortfall in water supply.",Drought,nat-cli-dro-dro,MH0401,Drought,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0401
rupture,Seismic Rupture,"Primary earthquake surface ruptures and fissures are localised ground displacements that develop during and immediately after an earthquake. Surface ruptures represent the upward continuation of fault slip at depth, while fissures are smaller displacements, or more distributed deformation in and around the rupture area. Secondary earthquake ruptures occur due to stress transfer from a primary rupture, causing concurrent or subsequent rupture of intersecting faults in the same fault set.",Sudden Subsidence (dry),nat-geo-mmd-sub,GH0101,Earthquake,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0101
ground_motion,Ground Motion,Earthquake ground shaking is the movement of the Earth's surface produced by seismic waves that are generated when an earthquake occurs.,Ground movement,nat-geo-ear-gro,GH0101,Earthquake,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0101
liquefaction,Liquefaction,"Soil liquefaction occurs when soil is transformed from a solid to a liquid state as a result of increased pore pressure and reduced effective stress. It is typically caused by rapid loading of the soil during earthquake shaking (AGI, 2017).",N/A,N/A,GH0307,Liquefaction,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0307
extreme_cold,Extreme cold,"A period of marked and unusual cold weather characterised by a sharp and significant drop in air temperatures near the surface (maximum, minimum and daily average) over a large area and persisting below certain thresholds for at least two consecutive days during the cold season (WMO, 2020).",Cold wave,nat-met-ext-col,MH0502,Cold wave,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0502
extreme_heat,Extreme heat,"A marked unusual period of hot weather over a region persisting for at least two consecutive days during the hot period of the year based on local climatological conditions, with thermal conditions recorded above given thresholds (WMO, 2020).",Heat wave,nat-met-ext-hea,MH0501,Heatwave,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0501
fluvial_flood,Fluvial Flood,"A rise, usually brief, in the water level of a stream or water body to a peak from which the water level recedes at a slower rate (WMO, 2012).",Riverine flood,nat-hyd-flo-riv,MH0604,Fluvial (Riverine) Flooding,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0604
pluvial_flood,Pluvial Flood,"Pluvial flood, or surface water flooding, is caused by rain remaining and ponding on the ground surface during and after rainfall events, and can also include urban flooding, which results form the capacity of urban drainage systems being exceeded.",Flash flood,nat-hyd-flo-fla,MH0606,Surface Water Flooding,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0606
