Code,Title,Description,Metric,Unit
AirTemp:C,Air temperature (°C),Ambient air temperature in Celsius.,AirTemp,C
AirTemp:F,Air temperature (°F),Ambient air temperature in Fahrenheit.,AirTemp,F
WBGT:C,Wet Bulb Globe Temperature,"Heat stress index incorporating temperature, humidity, wind, and solar radiation.",WBGT,C
WBT:C,Wet Bulb Temperature,Temperature at which sweat no longer evaporates efficiently.,WBT,C
HI:-,Heat Index,Apparent temperature combining air temperature and humidity.,HI,-
EHF:-,Excess Heat Factor,Heatwave severity based on temperature anomalies.,EHF,-
CDD:-,Cooling Degree Days,Measures energy demand for cooling buildings.,CDD,-
AT:-,Apparent Temperature,Perceived temperature based on humidity and wind (similar to heat index).,AT,-
HD:-,Number of Hot Days,Days exceeding a threshold (e.g. >35°C).,HD,-
riskidx:-,Risk score,Composite risk quantification.,riskidx,-
HI:-,Hazard Index,Index describing the level or classification of a hazard or multiple hazards.,HI,-
EvYr:events/year,Event Frequency - Count per Year,Number of events in a year,EvYr,events/year
