Code,Title,Description,Metric,Unit
wd:m,Inundation depth above ground (m),Inundation depth measured relative to ground level. Expressed in meters (m).,wd,m
wd:cm,Inundation depth above ground (cm),Inundation depth measured relative to ground level. Expressed in centimeters (cm).,wd,cm
wd:dm,Inundation depth above ground (dm),Inundation depth measured relative to ground level. Expressed in decimeters (dm).,wd,dm
wd_f:m,Inundation depth above floor (m),Inundation depth measured relative to building floor level. Expressed in meters (m).,wd_f,m
wd_f:cm,Inundation depth above floor (cm),Inundation depth measured relative to building floor level. Expressed in centimeters (cm).,wd_f,cm
wd_f:dm,Inundation depth above floor (dm),Inundation depth measured relative to building floor level. Expressed in decimeters (dm).,wd_f,dm
wv:m/s,Flow velocity (m/s),"The rate at which a fluid flows in a flood, tsunami, landslide, lahar, debris flow or other. Expressed in meters per second (m/s).",wv,m/s
slr:cm,Sea level rise,Long-term rise in sea level affecting coastal hazards.,slr,cm
pptn1:mm,1-hour precipitation,Maximum rainfall depth in any 1-hour period.,pptn1,mm
pptn24:mm,24-hour precipitation,Maximum rainfall depth in any 24-hour period.,pptn24,mm
pptn_tot:mm,Total event precipitation,Total cumulative precipitation for entire event.,pptn_tot,mm
AA:m2,Area Affected (m²),Surface area impacted by the hazard. Described in square meters.,AA,m2
AA:km2,Area Affected (km²),Surface area impacted by the hazard. Described in square kilometers.,AA,km2
fl_d:h,Flood duration (h),The total length of time that flooding is present on a piece of land during a flood event expressed in hours (h),fl_dur,hours
POE:-,Probability of exceedance,The probability of a hazard event being exceeded within a defined time span (e.g. 1 year or 50 years). Expressed as a dimensionless value between 0 and 1.,POE,-
riskidx:-,Risk score,Composite risk quantification.,riskidx,-
HI:-,Hazard Index,Index describing the level or classification of a hazard or multiple hazards.,HI,-
EvYr:events/year,Event Frequency - Count per Year,Number of events in a year,EvYr,events/year
