Code,Title,Description,Metric,Unit
wd:m,Inundation depth above ground (m),Inundation depth measured relative to ground level. Expressed in meters (m).,wd,m
wd:cm,Inundation depth above ground (cm),Inundation depth measured relative to ground level. Expressed in centimeters (cm).,wd,cm
wd:dm,Inundation depth above ground (dm),Inundation depth measured relative to ground level. Expressed in decimeters (dm).,wd,dm
wd_f:m,Inundation depth above floor (m),Inundation depth measured relative to building floor level. Expressed in meters (m).,wd_f,m
wd_f:cm,Inundation depth above floor (cm),Inundation depth measured relative to building floor level. Expressed in centimeters (cm).,wd_f,cm
wd_f:dm,Inundation depth above floor (dm),Inundation depth measured relative to building floor level. Expressed in decimeters (dm).,wd_f,dm
wv:m/s,Flow velocity (m/s),"The rate at which a fluid flows in a flood, tsunami, landslide, lahar, debris flow or other. Expressed in meters per second (m/s).",wv,m/s
slr:cm,Sea level rise,Long-term rise in sea level affecting coastal hazards.,slr,cm
AA:m2,Area Affected (m²),Surface area impacted by the hazard. Described in square meters.,AA,m2
AA:km2,Area Affected (km²),Surface area impacted by the hazard. Described in square kilometers.,AA,km2
Rh_tsi:m,Tsunami wave runup height,Maximum elevation reached by tsunami waves on land.,Rh_tsi,m
h_tsi:m,Tsunami inundation height,Height of tsunami water above ground level.,h_tsi,m
Fh_tsi:m,Tsunami horizontal force,Lateral force exerted by tsunami.,Fh_tsi,m
F_drag:kN,Hydrodynamic drag force,Drag force exerted by flowing water on structures.,F_drag,kN
F_QS:kN,Quasi-static buoyant force,Buoyant force during low-velocity inundation.,F_QS,kN
MF:m3/s2,Momentum flux,Product of flow depth and velocity squared.,MF,m3/s2
MMF:m4/s2,Modified momentum flux,Product of momentum flux and inundation depth.,MMF,m4/s2
Fr:-,Froude number,Flow velocity non-dimensionalized by gravity-wave velocity.,Fr,-
POE:-,Probability of exceedance,The probability of a hazard event being exceeded within a defined time span (e.g. 1 year or 50 years). Expressed as a dimensionless value between 0 and 1.,POE,-
riskidx:-,Risk score,Composite risk quantification.,riskidx,-
HI:-,Hazard Index,Index describing the level or classification of a hazard or multiple hazards.,HI,-
EvYr:events/year,Event Frequency - Count per Year,Number of events in a year,EvYr,events/year
