Code,Title,Description,Metric,Unit
wd:m,Inundation depth above ground (m),Inundation depth measured relative to ground level. Expressed in meters (m).,wd,m
wd:cm,Inundation depth above ground (cm),Inundation depth measured relative to ground level. Expressed in centimeters (cm).,wd,cm
wd:dm,Inundation depth above ground (dm),Inundation depth measured relative to ground level. Expressed in decimeters (dm).,wd,dm
wv:m/s,Flow velocity (m/s),"The rate at which a fluid flows in a flood, tsunami, landslide, lahar, debris flow or other. Expressed in meters per second (m/s).",wv,m/s
AA:m2,Area Affected (m²),Surface area impacted by the hazard. Described in square meters.,AA,m2
AA:km2,Area Affected (km²),Surface area impacted by the hazard. Described in square kilometers.,AA,km2
ImpactE:J,Impact energy (J),"Energy released upon impact (ballistics, hail).",ImpactE,J
EvArea:events/km²,Event Density - Count per Unit Area,"Number of events in a unit area, e.g. count of landslide, rockfall, volcanic ballistics/projectiles, tornadoes in a km2.",EvArea,events/km²
Rdist:m,Runout distance,Horizontal distance traveled downslope.,Rdist,m
h_vaf:mm,Volcanic ash fall thickness,Accumulated depth of ash following eruption.,h_vaf,mm
L_vaf:kg/m2,Volcanic ash loading,Load of accumulated ash per unit area.,L_vaf,kg/m2
vei:-,Volcanic Explosivity Index,Logarithmic scale of eruption explosiveness.,vei,-
ImpactE:kJ,Impact energy (kJ),Impact energy in kilojoules.,ImpactE,kJ
Vbal_size:m,Volcanic ballistic size,Diameter of volcanic projectiles.,Vbal_size,m
Vbal_Lprob:%,Ballistic landing probability,Likelihood of ballistic landing in given area.,Vbal_Lprob,%
Vbal_MaxRng:km,Maximum ballistic range,Maximum distance ballistics can reach from vent.,Vbal_MaxRng,km
gas:-kT,Volume of gases emitted,"Quantifies volcanic gas emissions, typically measured in kilotonnes per day, indicating the scale of volcanic degassing and potential atmospheric impacts.",Gas_Vol,kT/day
riskidx:-,Risk score,Composite risk quantification.,riskidx,-
HI:-,Hazard Index,Index describing the level or classification of a hazard or multiple hazards.,HI,-
EvYr:events/year,Event Frequency - Count per Year,Number of events in a year,EvYr,events/year
