Code,Title,Description,Metric,Unit
AA:m2,Area Affected (m²),Surface area impacted by the hazard. Described in square meters.,AA,m2
AA:km2,Area Affected (km²),Surface area impacted by the hazard. Described in square kilometers.,AA,km2
BA:ha,Burned Area (ha),Surface area impacted by the hazard. Described in square kilometers.,BA,ha
BA:km2,Burned Area (km²),Surface area impacted by the hazard. Described in square kilometers.,BA,km2
FWI:-,Fire Weather Index,Meteorological fire danger index.,FWI,-
wf:-pm2.5,Particulate Matter,"Represents concentrations of fine inhalable particles with diameters of 2.5 micrometres or smaller, often associated with wildfire smoke and hazardous air quality.",PM,PM 2.5
POE:-,Probability of exceedance,The probability of a hazard event being exceeded within a defined time span (e.g. 1 year or 50 years). Expressed as a dimensionless value between 0 and 1.,POE,-
riskidx:-,Risk score,Composite risk quantification.,riskidx,-
HI:-,Hazard Index,Index describing the level or classification of a hazard or multiple hazards.,HI,-
EvYr:events/year,Event Frequency - Count per Year,Number of events in a year,EvYr,events/year
