Code,Title,Description
https://creativecommons.org/publicdomain/zero/1.0/,CC0 1.0,Creative Commons CC0 1.0 Universal
https://creativecommons.org/licenses/by/4.0/,CC BY 4.0,Creative Commons Attribution 4.0 International
https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA 4.0,Creative Commons Attribution-ShareAlike 4.0 International
https://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA 4.0,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International
https://creativecommons.org/licenses/by-nd/4.0/,CC BY-ND 4.0,Creative Commons Attribution-NoDerivatives 4.0 International
https://creativecommons.org/licenses/by-nc-nd/4.0/,CC BY-NC-ND 4.0,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International
https://opendatacommons.org/licenses/odbl/1-0/,ODbL 1.0,Open Data Commons Open Database License v1.0
https://opendatacommons.org/licenses/by/1-0/,ODC-By 1.0,Open Data Commons Attribution License v1.0
http://opendatacommons.org/licenses/pddl/1.0/,ODC PDDL 1.0,Open Data Commons Public Domain Dedication and License v1.0
,Custom,Open License specified externally
,Copyright,Commercial License specified externally
