Code,Title,Description,Category,Source,URI Pattern
ISO 3166-2,ISO Country Subdivision Codes,ISO codes for identifying the principal subdivisions (e.g. provinces or states) of all countries coded in ISO 3166-1.,Subnational,https://www.iso.org/standard/72483.html,
NUTS 2024,EU Nomenclature of Territorial Units for Statistics 2024,The Nomenclature of Territorial Units for Statistics (NUTS) was established by Eurostat in order to provide a single uniform breakdown of territorial units for the production of regional statistics for the European Union.,Subnational,https://ec.europa.eu/eurostat/web/nuts,https://publications.europa.eu/resource/authority/nuts/code/{identifier}
NUTS 2021,EU Nomenclature of Territorial Units for Statistics 2021,The Nomenclature of Territorial Units for Statistics (NUTS) was established by Eurostat in order to provide a single uniform breakdown of territorial units for the production of regional statistics for the European Union.,Subnational,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Nomenclature_of_territorial_units_for_statistics_(NUTS),https://ec.europa.eu/eurostat/web/nuts/maps
NUTS 2016,EU Nomenclature of Territorial Units for Statistics 2016,The Nomenclature of Territorial Units for Statistics (NUTS) was established by Eurostat in order to provide a single uniform breakdown of territorial units for the production of regional statistics for the European Union.,Subnational,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Nomenclature_of_territorial_units_for_statistics_(NUTS),https://ec.europa.eu/eurostat/web/nuts/maps
NUTS 2013,EU Nomenclature of Territorial Units for Statistics 2013,The Nomenclature of Territorial Units for Statistics (NUTS) was established by Eurostat in order to provide a single uniform breakdown of territorial units for the production of regional statistics for the European Union.,Subnational,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Nomenclature_of_territorial_units_for_statistics_(NUTS),https://ec.europa.eu/eurostat/web/nuts/maps
ISO 3166-1 alpha-2,ISO-a2 Country Codes,ISO 2-Digit Country Codes,National,https://www.iso.org/iso-3166-country-codes.html,
ISO 3166-1 alpha-3,ISO-a3 Country Codes,ISO 3-Digit Country Codes,National,https://www.iso.org/iso-3166-country-codes.html,
GEONAMES,GeoNames,"GeoNames provides numerical identifiers for many points of interest around the world, including administrative divisions, populated centres and other locations, embedded within a structured tree of geographic relations.",Universal,https://www.geonames.org/,https://www.geonames.org/
OSMN,OpenStreetMap Node,"OpenStreetMap Nodes consist of a single point in space defined by a latitude, longitude and node ID. Nodes might have tags to indicate the particular geographic feature they represent.",Universal,,https://www.openstreetmap.org/node/
OSMR,OpenStreetMap Relation,"Relations are used to model logical (and usually local) or geographic relationships between objects. In practice, boundaries of geographic areas are available as Relations in OpenStreetMap.",Universal,https://wiki.openstreetmap.org/wiki/Relation,https://www.openstreetmap.org/relation/
