Code,Title
text/html,HTML (html)
text/csv,CSV (csv)
application/vnd.ms-excel (xlsx)
application/json,JSON (json)
application/xml,XML (xml)
application/pdf,PDF (pdf)
image/tiff;application=geotiff,GeoTIFF (tif)
image/tiff;application=geotiff;profile=cloud-optimized,Cloud Optimized GeoTIFF (cog)
application/netcdf,NetCDF (nc)
application/x-hdf5,HDF5 (hdf5)
application/vnd.zarr,Zarr (zarr)
application/geopackage+sqlite3,GeoPackage (gpkg)
application/geo+json,GeoJSON (geojson)
application/vnd.flatgeobuf,FlatGeobuf (fgb)
application/vnd.shp,Shapefile (shp)
application/x-filegdb,File Geodatabase (gdb)
application/vnd.google-earth.kml+xml,KML (kml)
application/vnd.apache.parquet,Parquet (parquet)
application/vnd.las,LAS (las)
application/vnd.laszip+copc,COPC (copc)
text/plain,Text (txt)
application/x-hdf,HDF (hdf)
application/3dtiles+json,3D Tiles
application/vnd.pmtiles,PMTiles
